Batch S21 Page 1 of 20
Orderli, https://orderli.com/en, https://www.ycombinator.com/companies/orderli, []
Oneistox, https://www.oneistox.com, https://www.ycombinator.com/companies/oneistox, []
Moving Parts, https://movingparts.io, https://www.ycombinator.com/companies/moving-parts, []
Membo, https://membo.ee?lang=en, https://www.ycombinator.com/companies/membo, []
Kapacity.io, https://kapacity.io, https://www.ycombinator.com/companies/kapacity-io, []
idemeum, https://www.idemeum.com, https://www.ycombinator.com/companies/idemeum, []
ContraForce, https://www.contraforce.com, https://www.ycombinator.com/companies/contraforce, []
CollabKit, https://collabkit.dev/, https://www.ycombinator.com/companies/collabkit, []
Coinfeeds, https://coinfeeds.io, https://www.ycombinator.com/companies/coinfeeds, []
Byte Kitchen, https://www.bytekitchen.io/, https://www.ycombinator.com/companies/byte-kitchen, []
Baubap, https://www.baubap.com, https://www.ycombinator.com/companies/baubap, []
Abhi, https://abhi.com.pk/ #SITEDOWN, https://www.ycombinator.com/companies/abhi, []
Abatable, https://www.abatable.com, https://www.ycombinator.com/companies/abatable, []
Batch S21 Page 5 of 20
Zuma, https://www.getzuma.com/, https://www.ycombinator.com/companies/resident-boost, []
Tuli Health, https://tuli.health, https://www.ycombinator.com/companies/tuli-health, []
Telivy, https://www.telivy.com, https://www.ycombinator.com/companies/telivy, []
Synth, https://www.usesynth.com/, https://www.ycombinator.com/companies/synth-2, []
Stownest, https://stownest.com, https://www.ycombinator.com/companies/stownest, []
Siglo, https://siglo.com/, https://www.ycombinator.com/companies/siglo, []
Pylon, https://www.pylonump.com/, https://www.ycombinator.com/companies/pylon, []
PAYZE, https://payze.io/, https://www.ycombinator.com/companies/payze, []
Nasdisc, https://www.nasdisc.com, https://www.ycombinator.com/companies/nasdisc, []
Luable, https://mejorcdt.com/, https://www.ycombinator.com/companies/luable, []
Kiwi Biosciences, https://www.fodzyme.com, https://www.ycombinator.com/companies/kiwi-biosciences, []
Humane Genomics, https://humanegenomics.com, https://www.ycombinator.com/companies/humane-genomics, []
Filta, http://www.getfilta.com, https://www.ycombinator.com/companies/filta, []
Filadd, https://courses.filadd.com/, https://www.ycombinator.com/companies/filadd, [github.com/muicss/loadjs|github.com/sourcec0de/loadjs,github.com/filamentgroup/loadCSS,github.com/flatpickr/flatpickr/blob/master/src/index.ts]
Ferveret, http://www.ferveret.com, https://www.ycombinator.com/companies/ferveret-inc, []
Female Invest, https://www.femaleinvest.com/, https://www.ycombinator.com/companies/female-invest, []
Dime, https://www.dime.io/, https://www.ycombinator.com/companies/dime, []
Caire Health, http://cairehealth.com, https://www.ycombinator.com/companies/caire-health, []
